Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
,,,Wind/Sturm,Schnee/Duft,Insekten,Trockenheit,Sonstiges,Insgesamt,,,,,,,,
2008,Insgesamt,Staatswald (Bundes- und Landeswald),4204,5,16,9,1772,3,-,199,5,6193,1,,,
2008,Insgesamt,K�rperschaftswald,2659,5,16,7,760,5,-,192,2,3629,0,,,
2008,Insgesamt,Privatwald,5602,6,21,3,2026,3,-,125,2,7775,3,,,
2008,Insgesamt,Insgesamt,12466,5,54,9,4559,1,-,516,9,17597,4,,,
2009,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),20,9,0,9,6,3,-,33,1,61,0,,,
2009,Eiche und Roteiche,K�rperschaftswald,26,9,0,4,2,2,-,34,2,63,7,,,
2009,Eiche und Roteiche,Privatwald,51,8,0,3,11,7,-,12,6,76,3,,,
2009,Eiche und Roteiche,Insgesamt,99,5,1,5,20,1,-,79,9,201,0,,,
2009,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),70,6,6,4,6,8,-,44,0,127,8,,,
2009,Buche und sonstiges Laubholz,K�rperschaftswald,73,2,5,6,5,0,-,38,7,122,5,,,
2009,Buche und sonstiges Laubholz,Privatwald,142,5,1,6,13,4,-,31,4,188,9,,,
2009,Buche und sonstiges Laubholz,Insgesamt,286,2,13,6,25,2,-,114,1,439,1,,,
2009,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),59,8,3,3,20,4,-,46,7,130,2,,,
2009,Kiefer und L�rche,K�rperschaftswald,39,4,2,3,10,9,-,27,1,79,8,,,
2009,Kiefer und L�rche,Privatwald,185,5,4,5,85,9,-,17,3,293,2,,,
2009,Kiefer und L�rche,Insgesamt,284,7,10,2,117,1,-,91,2,503,2,,,
2009,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),558,8,105,3,1284,4,-,65,3,2013,8,
2009,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,535,0,67,9,758,1,-,49,9,1410,8,
2009,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,1414,3,42,8,1687,6,-,61,7,3206,4,
2009,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,2508,1,216,0,3730,0,-,176,8,6631,0,
2009,Insgesamt,Staatswald (Bundes- und Landeswald),710,1,115,9,1317,8,-,189,2,2332,9,,,
2009,Insgesamt,K�rperschaftswald,674,5,76,2,776,2,-,149,9,1676,7,,,
2009,Insgesamt,Privatwald,1794,1,49,3,1798,5,-,123,0,3764,8,,,
2009,Insgesamt,Insgesamt,3178,6,241,4,3892,4,-,462,1,7774,4,,,
2010,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),26,2,1,1,5,3,-,21,0,53,5,,,
2010,Eiche und Roteiche,K�rperschaftswald,34,6,0,8,1,2,-,14,5,51,2,,,
2010,Eiche und Roteiche,Privatwald,29,0,0,3,2,5,-,11,1,42,9,,,
2010,Eiche und Roteiche,Insgesamt,89,9,2,3,9,0,-,46,5,147,6,,,
2010,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),193,9,11,3,6,3,-,64,7,276,2,,,
2010,Buche und sonstiges Laubholz,K�rperschaftswald,160,4,2,4,4,0,-,57,1,223,9,,,
2010,Buche und sonstiges Laubholz,Privatwald,134,4,4,2,13,0,-,34,0,185,6,,,
2010,Buche und sonstiges Laubholz,Insgesamt,488,7,17,9,23,3,-,155,8,685,7,,,
2010,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),273,3,235,7,16,0,-,61,0,586,0,,,
2010,Kiefer und L�rche,K�rperschaftswald,177,2,50,5,5,5,-,28,7,261,8,,,
2010,Kiefer und L�rche,Privatwald,397,4,203,5,69,7,-,35,3,705,9,,,
2010,Kiefer und L�rche,Insgesamt,847,9,489,6,91,2,-,124,9,1553,7,,,
2010,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),1981,1,204,1,383,4,-,62,6,2631,1,
2010,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,3098,4,29,1,193,5,-,57,8,3378,9,
2010,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,1234,7,100,1,787,1,-,191,2,2313,1,
2010,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,6314,3,333,3,1364,0,-,311,6,8323,1,
2010,Insgesamt,Staatswald (Bundes- und Landeswald),2474,5,452,2,411,0,-,209,1,3546,8,,,
2010,Insgesamt,K�rperschaftswald,3470,7,82,8,204,1,-,158,2,3915,8,,,
2010,Insgesamt,Privatwald,1795,6,308,1,872,3,-,271,6,3247,5,,,
2010,Insgesamt,Insgesamt,7740,8,843,1,1487,4,-,638,7,10710,1,,,
2011,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),18,0,0,9,9,4,-,26,8,55,0,,,
2011,Eiche und Roteiche,K�rperschaftswald,38,9,0,6,10,9,-,19,9,70,3,,,
2011,Eiche und Roteiche,Privatwald,39,2,7,1,8,1,-,15,5,70,0,,,
2011,Eiche und Roteiche,Insgesamt,96,0,8,6,28,4,-,62,2,195,3,,,
2011,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),87,0,10,3,6,1,-,70,8,174,1,,,
2011,Buche und sonstiges Laubholz,K�rperschaftswald,90,3,4,8,4,0,-,71,0,170,2,,,
2011,Buche und sonstiges Laubholz,Privatwald,96,6,16,2,9,3,-,46,5,168,6,,,
2011,Buche und sonstiges Laubholz,Insgesamt,273,9,31,3,19,4,-,188,3,512,9,,,
2011,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),78,0,278,5,12,3,-,67,9,436,6,,,
2011,Kiefer und L�rche,K�rperschaftswald,48,1,37,6,8,0,-,23,4,117,1,,,
2011,Kiefer und L�rche,Privatwald,70,6,861,5,24,7,-,42,9,999,6,,,
